low_24h,ath,id,price_change_24h,ath_change_percentage,image,price_change_percentage_24h,ath_date,current_price,market_cap_rank,market_cap_change_24h,atl,coin_id,market_cap_change_percentage_24h,atl_change_percentage,fully_diluted_valuation,circulating_supply,atl_date,symbol,total_volume,total_supply,last_updated,max_supply,name,market_cap,high_24h,timestamp
485.85,3785.82,215,-7.352181500620702,-86.93955,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,-1.46584,2017-12-20T00:00:00.000Z,494.21,15,-157102120.60396576,76.93,bitcoin-cash,-1.5731,542.68088,9829660893.0,19889346.77165078,2018-12-16T00:00:00.000Z,bch,355722294.0,19889346.77165078,2025-06-27T06:26:00.784Z,21000000.0,Bitcoin Cash,9829660893.0,504.19,1751005560
2.59,5.35,216,-0.07634904313280533,-50.56291,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,-2.80747,2025-01-04T22:56:18.063Z,2.64,16,-265141496.82414055,0.364846,sui,-2.87062,624.46601,26411822510.0,3396671135.364443,2023-10-19T10:40:30.078Z,sui,864609902.0,10000000000.0,2025-06-27T06:26:02.824Z,10000000000.0,Sui,8971227515.0,2.74,1751005562
12.83,52.7,217,-0.20199533330997177,-75.12095,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,-1.51812,2021-05-10T00:13:57.214Z,13.1,17,-129701491.01132584,0.148183,chainlink,-1.43831,8747.43771,13107116039.0,678099970.4527868,2017-11-29T00:00:00.000Z,link,289976874.0,1000000000.0,2025-06-27T06:26:03.924Z,1000000000.0,Chainlink,8887934999.0,13.43,1751005563
8.98,10.14,218,0.01911307,-11.06382,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,0.21248,2025-03-10T09:26:43.294Z,9.01,18,19545794.0,0.799859,leo-token,0.23544,1026.92078,8880731425.0,923167559.9,2019-12-24T15:14:35.376Z,leo,2395483.0,985239504.0,2025-06-27T06:26:02.039Z,,LEO Token,8321228622.0,9.06,1751005562
17.13,144.96,219,-0.20910644352660412,-87.97785,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,-1.1859,2021-11-21T14:18:56.538Z,17.42,19,-85716186.651371,2.8,avalanche-2,-1.15198,522.17268,7965085320.0,422036392.6469734,2020-12-31T13:15:21.540Z,avax,234806498.0,457038946.8944942,2025-06-27T06:26:00.130Z,720000000.0,Avalanche,7355075314.0,17.78,1751005560
0.233616,0.875563,220,-0.007862266727177852,-73.26217,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,-3.25231,2018-01-03T00:00:00.000Z,0.233882,20,-236463263.08747768,0.00047612,stellar,-3.13514,49069.29333,11703971008.0,31212229340.10751,2015-03-05T00:00:00.000Z,xlm,113239834.0,50001786892.81785,2025-06-27T06:26:01.999Z,50001786892.81785,Stellar,7305879449.0,0.242682,1751005561
0.999602,1.057,221,-3.9654484769169e-05,-5.43574,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,-0.00397,2024-10-29T05:40:51.197Z,0.999685,21,-33276093.041015625,0.948265,usds,-0.47241,5.4398,7010670662.0,7012876235.261235,2024-10-03T13:19:28.826Z,usds,5807259.0,7012876235.261235,2025-06-27T06:26:06.620Z,,USDS,7010670662.0,1.0,1751005566
2.8,8.25,222,-0.0147572664377571,-65.66013,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,-0.51802,2024-06-15T00:36:51.509Z,2.83,22,-37357696.833247185,0.519364,the-open-network,-0.53127,445.72108,14550664587.0,2467702909.92255,2021-09-21T00:33:11.092Z,ton,49935275.0,5133660185.867127,2025-06-27T06:25:59.038Z,,Toncoin,6994369717.0,2.86,1751005559
47.35,52.27,223,-0.10366280504619851,-8.57692,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,-0.21646,2025-06-16T09:30:18.527Z,47.79,23,-16873878.38634014,3.06,whitebit,-0.24446,1460.7506,15485804893.0,144118517.10815412,2023-02-13T19:01:21.899Z,wbt,34443939.0,324125246.0,2025-06-27T06:26:04.750Z,400000000.0,WhiteBIT Coin,6885582857.0,48.0,1751005564
1.113e-05,8.616e-05,224,-3.70339381155e-07,-86.92097,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,-3.1821,2021-10-28T03:54:55.568Z,1.127e-05,24,-217385341.84778404,5.6366e-11,shiba-inu,-3.17044,19991840.51972,6642107932.0,589248129818888.0,2020-11-28T11:26:25.838Z,shib,117311229.0,589502718086740.6,2025-06-27T06:26:05.213Z,,Shiba Inu,6639239408.0,1.169e-05,1751005565
